State,Date,Case
Australian Capital Territory,01/20,0
Australian Capital Territory,02/20,0
Australian Capital Territory,03/20,585
Australian Capital Territory,04/20,3013
Australian Capital Territory,05/20,2994
Australian Capital Territory,06/20,1077
Australian Capital Territory,07/20,2247
Australian Capital Territory,08/20,2034
Australian Capital Territory,09/20,791
Australian Capital Territory,10/20,339
New South Western Australiales,01/20,15
New South Western Australiales,02/20,100
New South Western Australiales,03/20,22464
New South Western Australiales,04/20,85378
Northern Territory,05/20,186177
Northern Territory,06/20,91049
Northern Territory,07/20,104134
Northern Territory,08/20,116160
Northern Territory,09/20,119505
Northern Territory,10/20,44713
Queensland,01/20,3
Queensland,02/20,36
Queensland,03/20,6459
Queensland,04/20,31035
Queensland,05/20,29383
Queensland,06/20,17016
Queensland,07/20,15025
Queensland,08/20,13125
Queensland,09/20,15966
Queensland,10/20,1160
South Australia,01/20,0
South Australia,02/20,11
South Australia,03/20,2673
South Australia,04/20,11880
South Australia,05/20,9659
South Australia,06/20,4843
South Australia,07/20,3123
South Australia,08/20,3203
South Australia,09/20,1397
South Australia,10/20,472
Tasmania,01/20,0
Tasmania,02/20,0
Tasmania,03/20,561
Tasmania,04/20,3906
Tasmania,05/20,4535
Tasmania,06/20,1824
Tasmania,07/20,458
Tasmania,08/20,230
Victoria,01/20,6
Victoria,02/20,4
Victoria,03/20,7743
Victoria,04/20,39133
Victoria,05/20,48932
Victoria,06/20,52131
Victoria,07/20,164537
Victoria,08/20,500662
Victoria,09/20,575985
Victoria,10/20,242819
Western Australia,01/20,0
Western Australia,02/20,3
Western Australia,03/20,2770
Western Australia,04/20,15323
Western Australia,05/20,16233
Western Australia,06/20,16251
Western Australia,07/20,17334
Western Australia,08/20,16197
Western Australia,09/20,12631
Western Australia,10/20,5508
